'Elapsed time','I','II','III','AVR','AVL','AVF','V1','V2','V3','V4','V5','V6'
'0:09.253',3.35,10.213,10.487,-4.945,-4.801,10.397,6.28,2.976,6.944,7.28,2.009,-1.381
'0:09.257',3.365,10.194,10.452,-4.943,-4.776,10.37,6.28,2.987,6.937,7.296,2.031,-1.348
'0:09.261',3.375,10.198,10.447,-4.95,-4.768,10.369,6.286,2.988,6.98,7.313,2.043,-1.335
'0:09.265',3.33,10.2,10.493,-4.929,-4.814,10.393,6.282,2.988,6.922,7.307,2.051,-1.329
'0:09.268',3.309,10.215,10.529,-4.926,-4.842,10.419,6.288,2.986,6.942,7.298,2.034,-1.352
'0:09.272',3.352,10.203,10.475,-4.94,-4.793,10.385,6.279,2.982,6.911,7.285,2.013,-1.379
'0:09.276',3.393,10.214,10.445,-4.967,-4.758,10.376,6.287,2.988,6.937,7.3,2.034,-1.361
'0:09.280',3.402,10.242,10.463,-4.986,-4.763,10.399,6.291,2.997,6.927,7.323,2.042,-1.331
'0:09.284',3.361,10.255,10.517,-4.971,-4.81,10.432,6.297,2.991,6.972,7.31,2.038,-1.346
'0:09.288',3.343,10.264,10.545,-4.967,-4.833,10.451,6.292,2.983,6.981,7.287,2.011,-1.391
'0:09.292',3.357,10.266,10.532,-4.975,-4.819,10.446,6.293,2.995,6.95,7.286,2.01,-1.393
'0:09.296',3.393,10.256,10.486,-4.988,-4.779,10.417,6.302,3.007,6.948,7.306,2.037,-1.35
'0:09.300',3.387,10.268,10.504,-4.991,-4.791,10.432,6.311,3.012,6.961,7.334,2.061,-1.328
'0:09.304',3.366,10.305,10.562,-4.999,-4.83,10.479,6.301,3.01,6.986,7.347,2.065,-1.326
'0:09.307',3.356,10.336,10.603,-5.01,-4.856,10.516,6.276,2.99,7.032,7.336,2.054,-1.348
'0:09.311',3.38,10.339,10.582,-5.023,-4.833,10.507,6.271,2.973,7.017,7.332,2.048,-1.344
'0:09.315',3.405,10.307,10.525,-5.02,-4.793,10.463,6.267,2.978,6.987,7.34,2.067,-1.318
'0:09.319',3.366,10.28,10.537,-4.987,-4.817,10.454,6.276,2.984,6.967,7.367,2.1,-1.278
'0:09.323',3.32,10.294,10.598,-4.97,-4.871,10.492,6.281,3.007,6.979,7.382,2.12,-1.254
'0:09.327',3.366,10.331,10.589,-5.012,-4.843,10.506,6.266,2.994,7.034,7.368,2.092,-1.289
'0:09.331',3.398,10.306,10.532,-5.015,-4.799,10.466,6.27,2.997,6.975,7.352,2.081,-1.317
'0:09.335',3.413,10.272,10.482,-5.006,-4.767,10.424,6.266,2.994,6.969,7.345,2.074,-1.316
'0:09.339',3.412,10.241,10.452,-4.99,-4.752,10.393,6.267,2.988,6.938,7.357,2.103,-1.28
'0:09.342',3.358,10.23,10.495,-4.958,-4.8,10.408,6.258,2.987,6.931,7.362,2.109,-1.265
'0:09.346',3.353,10.234,10.505,-4.957,-4.809,10.416,6.26,2.978,6.966,7.329,2.065,-1.309
'0:09.350',3.382,10.226,10.467,-4.967,-4.774,10.393,6.256,2.981,6.936,7.315,2.044,-1.343
'0:09.354',3.354,10.223,10.493,-4.952,-4.802,10.404,6.288,3.011,6.97,7.338,2.069,-1.329
'0:09.358',3.407,10.225,10.441,-4.98,-4.749,10.379,6.28,3.004,6.903,7.344,2.077,-1.312
'0:09.362',3.387,10.214,10.451,-4.964,-4.764,10.378,6.27,2.989,6.934,7.319,2.057,-1.332
'0:09.366',3.356,10.232,10.499,-4.958,-4.803,10.411,6.274,2.984,6.972,7.305,2.03,-1.361
'0:09.370',3.355,10.208,10.476,-4.945,-4.793,10.389,6.258,2.968,6.95,7.274,2.002,-1.38
'0:09.374',3.354,10.183,10.451,-4.932,-4.781,10.363,6.269,2.98,6.926,7.283,2.023,-1.365
'0:09.377',3.357,10.176,10.442,-4.93,-4.774,10.355,6.275,2.99,6.916,7.3,2.037,-1.337
'0:09.381',3.33,10.176,10.469,-4.916,-4.801,10.369,6.273,2.987,6.937,7.311,2.046,-1.332
'0:09.385',3.315,10.203,10.511,-4.922,-4.83,10.403,6.274,2.977,6.969,7.296,2.025,-1.372
'0:09.389',3.354,10.206,10.476,-4.943,-4.793,10.387,6.268,2.973,6.931,7.273,1.999,-1.416
'0:09.393',3.345,10.19,10.469,-4.931,-4.794,10.376,6.278,2.988,6.956,7.286,2.011,-1.391
'0:09.397',3.35,10.168,10.442,-4.922,-4.778,10.352,6.288,2.997,6.906,7.305,2.04,-1.34
'0:09.401',3.334,10.172,10.461,-4.916,-4.795,10.363,6.292,3.005,6.929,7.326,2.065,-1.327
'0:09.405',3.359,10.209,10.474,-4.948,-4.79,10.388,6.276,2.99,6.942,7.305,2.041,-1.349
'0:09.409',3.387,10.2,10.436,-4.957,-4.757,10.364,6.267,2.997,6.934,7.276,2.009,-1.391
'0:09.412',3.376,10.187,10.435,-4.945,-4.762,10.357,6.274,2.996,6.926,7.28,2.012,-1.37
'0:09.416',3.381,10.172,10.414,-4.94,-4.748,10.339,6.276,2.998,6.909,7.294,2.037,-1.345
'0:09.420',3.379,10.176,10.42,-4.941,-4.752,10.344,6.271,2.988,6.894,7.298,2.036,-1.339
'0:09.424',3.382,10.212,10.453,-4.961,-4.768,10.379,6.276,3.003,6.933,7.304,2.039,-1.344
'0:09.428',3.336,10.198,10.485,-4.931,-4.807,10.388,6.272,2.988,6.936,7.278,2.007,-1.384
'0:09.432',3.333,10.184,10.475,-4.922,-4.803,10.376,6.273,2.994,6.946,7.278,2.01,-1.386
'0:09.436',3.347,10.159,10.435,-4.916,-4.776,10.343,6.276,2.995,6.916,7.286,2.022,-1.376
'0:09.440',3.355,10.15,10.418,-4.916,-4.764,10.33,6.285,3.012,6.91,7.315,2.046,-1.348
'0:09.444',3.349,10.164,10.439,-4.92,-4.777,10.348,6.306,3.032,6.925,7.309,2.031,-1.382
'0:09.447',3.318,10.183,10.488,-4.914,-4.817,10.381,6.354,3.089,6.941,7.256,1.95,-1.472
'0:09.451',3.378,10.158,10.403,-4.931,-4.745,10.327,6.365,3.134,6.896,7.282,1.948,-1.491
'0:09.455',3.449,10.107,10.281,-4.941,-4.648,10.24,6.38,3.213,6.817,7.376,2.018,-1.464
'0:09.459',3.475,10.087,10.236,-4.944,-4.613,10.208,6.425,3.307,6.828,7.587,2.18,-1.373
'0:09.463',3.519,10.157,10.261,-5.001,-4.603,10.256,6.387,3.309,6.845,7.981,2.519,-1.169
'0:09.467',3.58,10.24,10.283,-5.074,-4.584,10.308,6.285,3.24,6.902,8.487,2.988,-0.853
'0:09.471',3.637,10.332,10.319,-5.148,-4.573,10.372,6.122,3.035,6.924,8.942,3.485,-0.447
'0:09.475',3.668,10.459,10.415,-5.227,-4.606,10.483,5.935,2.761,7.003,9.372,3.988,-0.03
'0:09.479',3.526,10.533,10.63,-5.193,-4.784,10.628,5.815,2.476,7.123,9.489,4.1,0.108
'0:09.482',3.471,10.605,10.758,-5.202,-4.876,10.728,5.716,2.31,7.134,9.375,4.045,0.165
'0:09.486',3.327,10.548,10.844,-5.101,-4.991,10.743,5.623,2.081,7.159,8.187,3.235,-0.185
'0:09.490',3.197,10.527,10.954,-5.026,-5.11,10.787,5.647,2.057,7.202,6.902,2.127,-0.817
'0:09.494',3.213,10.455,10.866,-4.998,-5.059,10.707,5.669,2.134,7.146,6.805,1.953,-1.002
'0:09.498',3.222,10.373,10.774,-4.961,-5.009,10.62,5.706,2.23,7.108,6.948,2.051,-0.953
'0:09.502',3.241,10.344,10.726,-4.956,-4.975,10.581,5.79,2.341,7.081,7.018,2.065,-0.978
'0:09.506',3.246,10.364,10.742,-4.968,-4.98,10.599,5.89,2.464,7.082,7.037,2.037,-1.049
'0:09.510',3.283,10.39,10.73,-5,-4.956,10.606,5.978,2.58,7.073,7.083,2.031,-1.093
'0:09.514',3.267,10.364,10.72,-4.979,-4.959,10.589,6.071,2.7,7.071,7.165,2.077,-1.08
'0:09.518',3.261,10.354,10.716,-4.971,-4.96,10.581,6.106,2.737,7.057,7.228,2.12,-1.047
'0:09.521',3.267,10.38,10.737,-4.988,-4.967,10.605,6.122,2.751,7.064,7.241,2.109,-1.072
'0:09.525',3.281,10.396,10.738,-5.002,-4.961,10.613,6.138,2.762,7.107,7.216,2.06,-1.154
'0:09.529',3.267,10.351,10.707,-4.972,-4.952,10.575,6.165,2.797,7.056,7.207,2.029,-1.211
'0:09.533',3.301,10.294,10.617,-4.961,-4.89,10.501,6.188,2.841,6.975,7.212,2.029,-1.232
'0:09.537',3.327,10.262,10.559,-4.958,-4.848,10.457,6.193,2.853,6.952,7.227,2.044,-1.217
'0:09.541',3.33,10.272,10.565,-4.964,-4.849,10.465,6.197,2.865,6.994,7.242,2.05,-1.216
'0:09.545',3.281,10.301,10.643,-4.955,-4.913,10.518,6.22,2.881,7.026,7.257,2.055,-1.224
'0:09.549',3.28,10.319,10.663,-4.963,-4.924,10.537,6.219,2.864,7.013,7.234,2.02,-1.254
'0:09.553',3.348,10.305,10.581,-4.99,-4.849,10.49,6.206,2.855,7.001,7.22,2.018,-1.256
'0:09.556',3.341,10.275,10.557,-4.971,-4.841,10.462,6.21,2.871,6.958,7.233,2.041,-1.228
'0:09.560',3.323,10.269,10.57,-4.96,-4.856,10.466,6.211,2.859,6.959,7.251,2.061,-1.204
'0:09.564',3.308,10.298,10.613,-4.966,-4.885,10.501,6.222,2.862,6.987,7.261,2.064,-1.203
'0:09.568',3.279,10.308,10.653,-4.957,-4.919,10.527,6.207,2.862,7,7.239,2.029,-1.249
'0:09.572',3.304,10.3,10.62,-4.965,-4.89,10.506,6.203,2.864,7.019,7.234,2.025,-1.253
'0:09.576',3.351,10.285,10.558,-4.982,-4.836,10.468,6.2,2.881,7.002,7.246,2.053,-1.211
'0:09.580',3.316,10.271,10.578,-4.957,-4.864,10.471,6.209,2.886,6.987,7.264,2.07,-1.19
'0:09.584',3.301,10.283,10.606,-4.956,-4.885,10.491,6.207,2.876,6.983,7.259,2.074,-1.184
'0:09.588',3.299,10.318,10.643,-4.972,-4.904,10.526,6.211,2.873,7.014,7.251,2.057,-1.217
'0:09.591',3.278,10.309,10.655,-4.957,-4.921,10.528,6.214,2.88,7.026,7.255,2.065,-1.201
'0:09.595',3.307,10.302,10.618,-4.968,-4.888,10.506,6.211,2.867,6.969,7.26,2.06,-1.203
'0:09.599',3.297,10.294,10.621,-4.959,-4.894,10.503,6.211,2.868,7.017,7.274,2.086,-1.182
'0:09.603',3.307,10.316,10.632,-4.975,-4.894,10.521,6.219,2.879,7.01,7.278,2.098,-1.169
'0:09.607',3.296,10.339,10.667,-4.981,-4.917,10.549,6.215,2.873,7.044,7.269,2.084,-1.176
'0:09.611',3.321,10.344,10.646,-4.996,-4.895,10.542,6.212,2.874,7.025,7.258,2.073,-1.188
'0:09.615',3.3,10.308,10.632,-4.967,-4.898,10.517,6.209,2.87,7.02,7.268,2.086,-1.168
'0:09.619',3.312,10.287,10.598,-4.963,-4.875,10.489,6.202,2.873,6.981,7.292,2.121,-1.136
'0:09.623',3.295,10.315,10.644,-4.968,-4.907,10.525,6.212,2.87,7.039,7.293,2.125,-1.119
'0:09.626',3.307,10.368,10.684,-5.001,-4.92,10.573,6.215,2.886,7.056,7.29,2.113,-1.133
'0:09.630',3.319,10.363,10.668,-5.005,-4.907,10.562,6.211,2.877,7.062,7.284,2.11,-1.141
'0:09.634',3.309,10.34,10.654,-4.988,-4.905,10.544,6.201,2.87,7.043,7.276,2.112,-1.145
'0:09.638',3.311,10.332,10.645,-4.986,-4.899,10.535,6.207,2.88,7.019,7.304,2.139,-1.096
'0:09.642',3.312,10.343,10.654,-4.991,-4.903,10.545,6.216,2.893,7.03,7.321,2.163,-1.084
'0:09.646',3.273,10.354,10.705,-4.977,-4.948,10.576,6.217,2.888,7.061,7.312,2.143,-1.099
'0:09.650',3.286,10.356,10.694,-4.985,-4.936,10.572,6.218,2.89,7.065,7.309,2.136,-1.11
'0:09.654',3.328,10.363,10.659,-5.009,-4.898,10.557,6.221,2.905,7.071,7.323,2.157,-1.099
'0:09.658',3.33,10.334,10.627,-4.996,-4.881,10.527,6.213,2.894,7.061,7.327,2.168,-1.075
'0:09.661',3.324,10.364,10.664,-5.008,-4.902,10.56,6.217,2.908,7.075,7.361,2.204,-1.03
'0:09.665',3.313,10.386,10.696,-5.013,-4.924,10.588,6.215,2.903,7.09,7.349,2.191,-1.05
'0:09.669',3.296,10.388,10.716,-5.006,-4.942,10.598,6.214,2.915,7.085,7.35,2.184,-1.062
'0:09.673',3.293,10.37,10.7,-4.995,-4.936,10.581,6.232,2.939,7.128,7.37,2.196,-1.049
'0:09.677',3.312,10.355,10.667,-4.997,-4.91,10.557,6.245,2.963,7.03,7.405,2.248,-0.995
'0:09.681',3.324,10.365,10.665,-5.008,-4.903,10.561,6.243,2.967,7.092,7.415,2.258,-0.989
'0:09.685',3.312,10.406,10.718,-5.023,-4.935,10.608,6.245,2.973,7.101,7.424,2.264,-1.006
'0:09.689',3.325,10.423,10.721,-5.037,-4.931,10.619,6.243,2.967,7.099,7.406,2.237,-1.027
'0:09.693',3.349,10.409,10.684,-5.042,-4.9,10.593,6.244,2.978,7.094,7.416,2.245,-1.017
'0:09.696',3.322,10.373,10.674,-5.011,-4.909,10.57,6.259,3.007,7.059,7.449,2.281,-0.973
'0:09.700',3.333,10.388,10.678,-5.024,-4.905,10.579,6.276,3.034,7.067,7.477,2.315,-0.936
'0:09.704',3.321,10.41,10.713,-5.029,-4.928,10.608,6.28,3.045,7.075,7.485,2.317,-0.945
'0:09.708',3.339,10.428,10.713,-5.047,-4.919,10.617,6.28,3.044,7.085,7.483,2.294,-0.984
'0:09.712',3.337,10.425,10.711,-5.044,-4.919,10.614,6.299,3.082,7.05,7.514,2.32,-0.963
'0:09.716',3.323,10.402,10.702,-5.026,-4.922,10.598,6.315,3.11,7.09,7.542,2.353,-0.941
'0:09.720',3.381,10.399,10.641,-5.054,-4.862,10.566,6.306,3.1,7.056,7.548,2.353,-0.945
'0:09.724',3.386,10.422,10.659,-5.067,-4.868,10.587,6.305,3.119,7.082,7.545,2.337,-0.981
'0:09.728',3.358,10.456,10.721,-5.071,-4.914,10.635,6.326,3.143,7.071,7.557,2.332,-0.988
'0:09.732',3.368,10.447,10.702,-5.071,-4.899,10.621,6.347,3.175,7.066,7.572,2.347,-0.987
'0:09.735',3.39,10.397,10.63,-5.057,-4.852,10.56,6.346,3.18,7.041,7.586,2.36,-0.981
'0:09.739',3.386,10.363,10.6,-5.038,-4.84,10.528,6.352,3.196,7.042,7.607,2.377,-0.96
'0:09.743',3.377,10.399,10.646,-5.051,-4.866,10.569,6.37,3.214,7.033,7.622,2.385,-0.958
'0:09.747',3.356,10.414,10.681,-5.049,-4.894,10.594,6.374,3.223,7.046,7.611,2.359,-1
'0:09.751',3.366,10.388,10.646,-5.04,-4.872,10.563,6.382,3.232,7.025,7.621,2.356,-1.029
'0:09.755',3.394,10.368,10.598,-5.044,-4.834,10.529,6.386,3.249,7.055,7.632,2.363,-1.036
'0:09.759',3.393,10.347,10.577,-5.034,-4.824,10.508,6.388,3.255,7.025,7.642,2.367,-1.04
'0:09.763',3.414,10.374,10.583,-5.058,-4.817,10.524,6.383,3.256,7.012,7.646,2.364,-1.049
'0:09.767',3.419,10.387,10.592,-5.066,-4.818,10.536,6.371,3.226,7.034,7.626,2.323,-1.113
'0:09.770',3.426,10.361,10.559,-5.057,-4.799,10.506,6.372,3.232,7.005,7.619,2.305,-1.144
'0:09.774',3.404,10.301,10.52,-5.016,-4.79,10.456,6.366,3.219,6.978,7.598,2.279,-1.158
'0:09.778',3.428,10.285,10.48,-5.02,-4.758,10.429,6.367,3.219,6.988,7.609,2.299,-1.135
'0:09.782',3.354,10.277,10.546,-4.979,-4.828,10.457,6.383,3.223,6.982,7.614,2.296,-1.143
'0:09.786',3.383,10.305,10.545,-5.008,-4.813,10.471,6.366,3.198,6.995,7.573,2.252,-1.207
'0:09.790',3.41,10.273,10.486,-5.005,-4.77,10.426,6.35,3.165,6.96,7.524,2.186,-1.268
'0:09.794',3.393,10.251,10.481,-4.986,-4.776,10.412,6.353,3.159,6.95,7.507,2.169,-1.276
'0:09.798',3.404,10.229,10.448,-4.98,-4.754,10.384,6.352,3.148,6.95,7.494,2.172,-1.272
'0:09.802',3.378,10.21,10.456,-4.958,-4.771,10.379,6.342,3.12,6.929,7.476,2.152,-1.293
'0:09.805',3.366,10.257,10.515,-4.975,-4.807,10.432,6.336,3.111,6.976,7.45,2.117,-1.316
'0:09.809',3.351,10.232,10.504,-4.955,-4.809,10.414,6.31,3.088,6.951,7.4,2.071,-1.37
'0:09.813',3.344,10.203,10.482,-4.937,-4.801,10.389,6.321,3.092,6.933,7.387,2.066,-1.373
'0:09.817',3.395,10.189,10.418,-4.956,-4.744,10.35,6.313,3.077,6.904,7.387,2.067,-1.363
'0:09.821',3.412,10.195,10.406,-4.967,-4.729,10.347,6.306,3.069,6.918,7.376,2.06,-1.373
'0:09.825',3.357,10.226,10.492,-4.955,-4.799,10.405,6.321,3.073,6.926,7.376,2.059,-1.362
'0:09.829',3.327,10.226,10.523,-4.939,-4.83,10.421,6.324,3.075,6.959,7.354,2.047,-1.375
'0:09.833',3.379,10.206,10.45,-4.956,-4.768,10.374,6.309,3.05,6.917,7.331,2.029,-1.396
'0:09.837',3.424,10.181,10.38,-4.965,-4.711,10.327,6.303,3.046,6.897,7.33,2.03,-1.387
'0:09.840',3.406,10.191,10.408,-4.963,-4.733,10.346,6.307,3.058,6.909,7.334,2.029,-1.4
'0:09.844',3.354,10.218,10.488,-4.949,-4.799,10.4,6.31,3.053,6.936,7.338,2.025,-1.389
'0:09.848',3.282,10.223,10.564,-4.916,-4.873,10.44,6.326,3.048,6.967,7.323,2.017,-1.393
'0:09.852',3.36,10.213,10.476,-4.95,-4.791,10.391,6.293,3.022,6.943,7.298,1.998,-1.398
'0:09.856',3.369,10.197,10.451,-4.946,-4.773,10.371,6.302,3.038,6.925,7.322,2.027,-1.377
'0:09.860',3.327,10.169,10.466,-4.912,-4.802,10.364,6.308,3.045,6.919,7.331,2.042,-1.363
'0:09.864',3.346,10.196,10.474,-4.935,-4.796,10.381,6.299,3.026,6.95,7.313,2.007,-1.397
'0:09.868',3.373,10.221,10.472,-4.961,-4.782,10.393,6.293,3.02,6.951,7.29,1.973,-1.43
'0:09.872',3.345,10.198,10.476,-4.935,-4.798,10.383,6.307,3.029,6.939,7.298,1.989,-1.421
'0:09.875',3.363,10.196,10.456,-4.943,-4.779,10.373,6.312,3.048,6.945,7.318,2.024,-1.381
'0:09.879',3.364,10.188,10.448,-4.939,-4.774,10.364,6.309,3.047,6.935,7.332,2.038,-1.366
'0:09.883',3.369,10.204,10.458,-4.95,-4.777,10.378,6.302,3.037,6.957,7.319,2.026,-1.379
'0:09.887',3.352,10.232,10.503,-4.955,-4.808,10.414,6.306,3.034,6.956,7.313,2.01,-1.402
'0:09.891',3.346,10.222,10.5,-4.947,-4.809,10.407,6.309,3.036,6.952,7.31,2.006,-1.422
'0:09.895',3.344,10.179,10.458,-4.925,-4.79,10.365,6.296,3.035,6.926,7.314,2.012,-1.402
'0:09.899',3.347,10.171,10.448,-4.922,-4.783,10.355,6.293,3.019,6.978,7.32,2.013,-1.386
'0:09.903',3.352,10.204,10.476,-4.941,-4.794,10.386,6.304,3.035,6.937,7.329,2.029,-1.377
'0:09.907',3.315,10.214,10.523,-4.928,-4.836,10.415,6.304,3.029,6.945,7.315,2.008,-1.405
'0:09.911',3.336,10.214,10.501,-4.939,-4.815,10.404,6.302,3.022,6.963,7.298,1.99,-1.428
'0:09.914',3.34,10.194,10.477,-4.931,-4.801,10.382,6.306,3.034,6.924,7.308,2.008,-1.411
'0:09.918',3.368,10.177,10.432,-4.936,-4.765,10.351,6.299,3.034,6.914,7.32,2.023,-1.39
'0:09.922',3.36,10.217,10.48,-4.952,-4.793,10.395,6.308,3.045,6.929,7.35,2.037,-1.375
'0:09.926',3.364,10.244,10.503,-4.967,-4.802,10.42,6.303,3.048,6.939,7.33,2.019,-1.403
'0:09.930',3.362,10.232,10.494,-4.961,-4.798,10.409,6.317,3.059,6.988,7.328,2.01,-1.414
'0:09.934',3.351,10.194,10.467,-4.936,-4.791,10.377,6.313,3.055,6.939,7.328,2.012,-1.396
'0:09.938',3.345,10.184,10.463,-4.928,-4.792,10.37,6.313,3.048,6.942,7.326,2.023,-1.379
'0:09.942',3.362,10.204,10.465,-4.946,-4.784,10.38,6.311,3.049,6.939,7.335,2.031,-1.38
'0:09.946',3.327,10.223,10.52,-4.939,-4.829,10.418,6.313,3.046,6.983,7.328,2.018,-1.422
'0:09.949',3.333,10.213,10.503,-4.937,-4.817,10.404,6.308,3.053,6.939,7.321,2.005,-1.427
'0:09.953',3.317,10.191,10.498,-4.917,-4.822,10.391,6.32,3.059,6.964,7.329,2.009,-1.398
'0:09.957',3.315,10.171,10.479,-4.907,-4.815,10.372,6.329,3.072,6.911,7.346,2.044,-1.349
'0:09.961',3.375,10.177,10.426,-4.939,-4.758,10.348,6.299,3.044,6.913,7.329,2.035,-1.365
'0:09.965',3.365,10.218,10.476,-4.955,-4.788,10.394,6.306,3.047,6.94,7.318,2.017,-1.393
'0:09.969',3.333,10.217,10.507,-4.939,-4.819,10.408,6.304,3.04,6.944,7.297,1.993,-1.416
'0:09.973',3.332,10.186,10.477,-4.923,-4.805,10.378,6.305,3.039,6.934,7.301,1.993,-1.414
'0:09.977',3.359,10.18,10.444,-4.933,-4.774,10.358,6.309,3.045,6.914,7.326,2.025,-1.376
'0:09.981',3.365,10.174,10.432,-4.933,-4.766,10.35,6.311,3.051,6.895,7.33,2.033,-1.373
'0:09.984',3.345,10.211,10.49,-4.941,-4.805,10.397,6.325,3.051,6.954,7.327,2.029,-1.378
'0:09.988',3.339,10.214,10.499,-4.94,-4.812,10.402,6.316,3.013,6.959,7.3,1.995,-1.42
'0:09.992',3.334,10.213,10.502,-4.938,-4.817,10.404,6.315,3.025,6.939,7.314,2.013,-1.402
'0:09.996',3.355,10.189,10.457,-4.936,-4.783,10.37,6.295,3.028,6.89,7.316,2.018,-1.383
'0:10.000',3.368,10.181,10.436,-4.938,-4.767,10.354,6.306,3.049,6.952,7.318,2.017,-1.375
'0:10.004',3.346,10.183,10.461,-4.928,-4.79,10.369,6.309,3.05,6.921,7.321,2.029,-1.382
'0:10.008',3.328,10.2,10.496,-4.927,-4.817,10.394,6.296,3.035,6.965,7.298,2.005,-1.415
'0:10.012',3.338,10.193,10.478,-4.929,-4.802,10.382,6.305,3.032,6.924,7.298,1.999,-1.417
'0:10.016',3.349,10.176,10.451,-4.926,-4.783,10.359,6.304,3.039,6.912,7.311,2.025,-1.383
'0:10.019',3.347,10.167,10.444,-4.92,-4.781,10.352,6.303,3.046,6.897,7.327,2.035,-1.369
'0:10.023',3.332,10.198,10.489,-4.929,-4.811,10.39,6.313,3.043,6.918,7.32,2.029,-1.371
'0:10.027',3.305,10.217,10.536,-4.924,-4.848,10.423,6.308,3.034,6.94,7.307,2.017,-1.395
'0:10.031',3.35,10.201,10.475,-4.939,-4.794,10.384,6.298,3.027,6.919,7.298,2.001,-1.408
'0:10.035',3.365,10.167,10.426,-4.93,-4.763,10.343,6.289,3.015,6.924,7.292,2.01,-1.408
'0:10.039',3.354,10.159,10.428,-4.919,-4.769,10.34,6.299,3.033,6.911,7.312,2.035,-1.378
'0:10.043',3.333,10.173,10.463,-4.916,-4.797,10.364,6.309,3.037,6.908,7.329,2.043,-1.361
'0:10.047',3.329,10.196,10.491,-4.926,-4.814,10.39,6.302,3.028,6.952,7.306,2.022,-1.391
'0:10.051',3.336,10.205,10.492,-4.934,-4.81,10.395,6.301,3.023,6.953,7.302,2.02,-1.389
'0:10.054',3.342,10.193,10.475,-4.931,-4.798,10.38,6.307,3.039,6.942,7.32,2.043,-1.37
'0:10.058',3.348,10.167,10.443,-4.921,-4.78,10.352,6.306,3.037,6.92,7.338,2.067,-1.352
'0:10.062',3.314,10.181,10.49,-4.911,-4.82,10.381,6.315,3.047,6.935,7.349,2.07,-1.365
'0:10.066',3.321,10.206,10.508,-4.927,-4.826,10.403,6.301,3.024,6.95,7.305,2.005,-1.4
'0:10.070',3.354,10.194,10.463,-4.938,-4.787,10.375,6.287,3.012,6.924,7.288,1.988,-1.404
'0:10.074',3.34,10.183,10.467,-4.925,-4.795,10.372,6.298,3.018,6.937,7.298,2.017,-1.378
'0:10.078',3.344,10.144,10.424,-4.908,-4.772,10.33,6.29,3.011,6.915,7.303,2.028,-1.374
'0:10.082',3.355,10.172,10.44,-4.927,-4.774,10.353,6.305,3.023,6.923,7.324,2.051,-1.341
'0:10.086',3.313,10.182,10.492,-4.911,-4.821,10.383,6.305,3.023,6.942,7.318,2.04,-1.366
'0:10.089',3.353,10.194,10.465,-4.937,-4.789,10.376,6.3,3.035,6.921,7.294,2.017,-1.397
'0:10.093',3.343,10.181,10.461,-4.925,-4.792,10.367,6.298,3.02,6.915,7.299,2.018,-1.391
'0:10.097',3.345,10.149,10.427,-4.911,-4.773,10.334,6.3,3.027,6.892,7.318,2.04,-1.366
'0:10.101',3.356,10.161,10.428,-4.922,-4.768,10.341,6.304,3.047,6.917,7.333,2.052,-1.354
'0:10.105',3.326,10.201,10.499,-4.927,-4.818,10.396,6.305,3.037,6.945,7.319,2.036,-1.378
'0:10.109',3.329,10.194,10.488,-4.925,-4.812,10.387,6.286,3.016,6.949,7.291,2.006,-1.407
'0:10.113',3.356,10.185,10.452,-4.935,-4.78,10.365,6.295,3.021,6.942,7.296,2.023,-1.401
'0:10.117',3.363,10.172,10.432,-4.931,-4.767,10.349,6.302,3.025,6.91,7.311,2.027,-1.38
'0:10.121',3.335,10.174,10.462,-4.918,-4.795,10.364,6.309,3.038,6.918,7.331,2.049,-1.356
'0:10.125',3.312,10.21,10.522,-4.925,-4.837,10.412,6.311,3.032,6.972,7.326,2.035,-1.374
'0:10.128',3.324,10.213,10.513,-4.932,-4.827,10.409,6.294,3.012,6.981,7.301,2.006,-1.411
'0:10.132',3.332,10.223,10.514,-4.941,-4.823,10.415,6.309,3.034,6.964,7.323,2.036,-1.377
'0:10.136',3.345,10.191,10.47,-4.932,-4.794,10.377,6.308,3.027,6.951,7.323,2.044,-1.355
'0:10.140',3.372,10.205,10.456,-4.952,-4.774,10.377,6.312,3.038,6.93,7.344,2.07,-1.327
'0:10.144',3.348,10.241,10.517,-4.958,-4.817,10.426,6.319,3.051,6.956,7.343,2.066,-1.335
'0:10.148',3.34,10.269,10.552,-4.968,-4.839,10.457,6.318,3.036,7.017,7.329,2.041,-1.362
'0:10.152',3.357,10.275,10.541,-4.98,-4.824,10.454,6.323,3.045,6.982,7.339,2.056,-1.358
'0:10.156',3.366,10.269,10.526,-4.981,-4.813,10.444,6.313,3.043,6.969,7.357,2.074,-1.336
'0:10.160',3.361,10.265,10.527,-4.977,-4.816,10.443,6.287,3.026,6.947,7.369,2.09,-1.316
'0:10.163',3.356,10.307,10.574,-4.995,-4.841,10.487,6.282,3.014,7.022,7.372,2.088,-1.311
'0:10.167',3.356,10.329,10.597,-5.007,-4.852,10.509,6.276,3.013,7.034,7.356,2.062,-1.327
'0:10.171',3.36,10.295,10.558,-4.991,-4.831,10.473,6.275,3.017,6.97,7.349,2.075,-1.331
'0:10.175',3.368,10.27,10.525,-4.983,-4.811,10.444,6.282,3.027,7.003,7.374,2.096,-1.31
'0:10.179',3.38,10.263,10.506,-4.986,-4.795,10.431,6.291,3.045,6.962,7.401,2.128,-1.269
'0:10.183',3.366,10.258,10.516,-4.976,-4.807,10.433,6.288,3.03,6.962,7.401,2.125,-1.28
